k=( 0.00000, 0.00000, 0.00000),
number of irreducible representations: 10
level=  1    0   0   0   1   0   0   0   0   0   0
level=  2    0   0   0   0   1   0   0   0   0   0
level=  3    0   0   0   0   0   0   0   1   0   0
level=  4    0   0   0   0   0   0   1   0   0   0
level=  5    0   0   0   0   0   0   0   1   0   0
level=  6    0   0   0   0   1   0   0   0   0   0
level=  7    0   0   0   0   0   0   0   0   0   1
level=  8    0   0   0   1   0   0   0   0   0   0
level=  9    0   0   0   1   0   0   0   0   0   0
level= 10    0   0   0   0   0   0   0   0   0   1
level= 11    0   0   0   0   1   0   0   0   0   0
level= 12    0   0   0   0   0   0   0   0   0   1
level= 13    0   0   0   0   1   0   0   0   0   0
level= 14    0   0   0   0   0   0   0   1   0   0
level= 15    0   0   1   0   0   0   0   0   0   0
level= 16    0   0   0   0   0   0   0   0   1   0
level= 17    0   0   0   1   0   0   0   0   0   0
level= 18    0   0   0   0   1   0   0   0   0   0
level= 19    0   0   0   0   0   0   0   1   0   0
 
k=( 0.50000, 0.00000, 0.00000),
number of irreducible representations: 10
level=  1    0   0   0   0   0   0   1   0   0   0
level=  2    0   0   0   0   0   0   0   1   0   0
level=  3    0   0   0   1   0   0   0   0   0   0
level=  4    0   0   0   0   0   0   0   0   1   0
level=  5    0   0   0   0   0   0   0   1   0   0
level=  6    0   0   0   0   0   0   0   0   0   1
level=  7    0   0   0   0   0   1   0   0   0   0
level=  8    0   0   0   0   0   0   1   0   0   0
level=  9    0   0   0   0   0   0   0   0   1   0
level= 10    0   0   0   0   0   1   0   0   0   0
level= 11    0   0   1   0   0   0   0   0   0   0
level= 12    0   0   0   0   0   0   0   0   1   0
level= 13    0   0   0   0   0   0   0   1   0   0
level= 14    0   0   0   0   0   0   0   1   0   0
level= 15    0   0   0   0   0   0   1   0   0   0
level= 16    0   0   0   0   0   0   1   0   0   0
level= 17    0   0   0   0   0   0   0   0   0   1
level= 18    0   1   0   0   0   0   0   0   0   0
level= 19    0   0   0   0   0   1   0   0   0   0
level= 20    0   0   0   0   0   0   0   0   1   0
level= 21    0   0   0   0   0   0   1   0   0   0
level= 22    0   0   1   0   0   0   0   0   0   0
level= 23    0   0   0   0   0   0   0   1   0   0
level= 24    0   0   0   0   0   0   0   0   0   1
level= 25    0   0   0   1   0   0   0   0   0   0
level= 26    0   0   0   1   0   0   0   0   0   0
level= 27    0   0   0   0   1   0   0   0   0   0
level= 28    0   0   0   0   0   0   0   1   0   0
level= 29    0   0   0   0   0   0   0   0   0   1
level= 30    0   0   0   1   0   0   0   0   0   0
level= 31    0   0   0   0   0   0   0   0   1   0
level= 32    0   0   0   0   0   1   0   0   0   0
 
k=( 0.00000, 0.50000, 0.00000),
number of irreducible representations: 10
level=  1    0   0   0   0   0   0   1   0   0   0
level=  2    0   0   0   0   0   0   0   1   0   0
level=  3    0   0   0   0   0   1   0   0   0   0
level=  4    0   0   0   0   0   0   0   0   1   0
level=  5    0   0   0   0   0   0   0   1   0   0
level=  6    0   0   0   0   0   0   0   0   0   1
level=  7    0   0   0   0   1   0   0   0   0   0
level=  8    0   0   0   0   0   0   1   0   0   0
level=  9    0   0   0   0   0   0   0   0   1   0
level= 10    0   0   0   0   1   0   0   0   0   0
level= 11    0   1   0   0   0   0   0   0   0   0
